Province/territory,2015,2016,2017,2018,2019,2020,2021,2022,2023
Newfoundland and Labrador,1645,1985,2235,2300,2615,1380,3295,3890,3740
Prince Edward Island ,910,1175,1450,1855,1895,1295,1890,2400,2795
Nova Scotia,6250,7025,7770,9890,10345,5020,9955,13115,14310
New Brunswick,2320,2620,2910,3730,4365,2265,5925,7640,9795
Quebec,30205,33395,37960,43985,57070,42355,63455,62635,69000
Ontario,96085,123795,155415,174165,198175,119580,219670,289905,300745
Manitoba,6930,8575,10450,11985,12025,8380,12590,14780,16740
Saskatchewan,3905,4335,4515,5760,6250,3480,6395,8420,10045
Alberta,14545,16200,16625,18730,20435,12815,23725,28540,34925
British Columbia,56750,65645,76375,81615,86070,59000,94000,110345,108530
Yukon,35,60,195,75,135,115,200,160,225
Northwest Territories,20,20,25,25,30,20,30,35,45
Nunavut,0,0,0,0,5,0,5,0,5
